Item,Caloies,Total Fat,Carbs,Protein
Hearty Macaroni Bake,100,3,15,6
Steamed Mixed Veetables,15,0,3,1
Dinner Roll,60,0.5,11,2
Hamburer,320,12,30,21
Crispy Homestyle French Fries,140,7,18,1
rilled Chicken Breast,150,4,0,26
Classic Cheese Pizza,270,9,35,13
Marherita Pizza,260,9,34,12
Pepperoni Pizza,290,12,35,14
Southwest Quinoa Cakes,260,11,30,12
Baked Sweet Potato,120,0,28,2
Southwest Black Beans,90,0.5,16,5
Southwest reen Beans,45,1.5,8,2
Chocolate Chip Cookie,160,7,15,1
Queso Dip,320,27,4,16
Cilantro-Lime Pulled Chicken (3 ozw),110,5,2,14
Spanish Rice,100,2,19,2
Lo Mein Noodles,140,1,28,5
White Rice,120,0,26,3
Baked Russet Potato,140,0,33,4
Chicken Noodle Soup (6 fl oz),90,3,10,6
Double Fude Brownie,300,10,52,2
rilled Italian Sausae,520,46,6,20
Herb Roasted Red Potatoes,100,1.5,20,2
Veetable Soup (6 fl oz),70,2.5,13,2
